treeID,CI,CIVE,CRI1,IF,GLI,NGBDI,MGRVI,RGBVI,ExG,ExR,EXGR,NRed,NBlue,NGreen,HUE,INT,VARIgreen
220,0.193713,-14.361722,0.002595,-5.987521,0.109255,0.058598,0.116717,0.221542,61.258110,82.653879,-21.395769,0.341255,0.274969,0.383775,1.157042,136.009403,0.094351
221,0.196749,-10.618694,0.002206,-6.722531,0.088775,0.036942,0.073691,0.182615,51.823695,90.061213,-38.237518,0.347480,0.278476,0.374044,1.111238,143.540668,0.060772
222,0.234200,-12.335145,0.002997,-5.394865,0.106382,0.044353,0.088449,0.219070,57.428773,88.183075,-30.754302,0.349908,0.267680,0.382412,1.253300,132.095440,0.069926
223,0.267762,-15.540008,0.003155,-4.715601,0.113337,0.041793,0.083326,0.235512,64.413258,99.006206,-34.592948,0.354795,0.259453,0.385752,1.243723,139.177715,0.064402
224,0.229975,-7.380812,0.001773,-6.750006,0.064243,0.003148,0.006294,0.136628,42.513399,110.762200,-68.248801,0.360279,0.277192,0.362529,1.074494,162.916314,0.005242
225,0.059152,4.076937,0.000266,-37.031613,0.011063,-0.003952,-0.007903,0.022598,9.015515,95.307757,-86.292243,0.340955,0.320775,0.338270,0.927768,202.993418,-0.007476
226,0.051642,3.432932,0.000281,-37.983518,0.013670,0.000581,0.001161,0.027707,10.809591,91.579126,-80.769535,0.339045,0.321515,0.339440,1.063601,199.666197,0.001101
227,0.226545,-9.204879,0.002045,-6.592506,0.076416,0.016154,0.032273,0.160827,47.706629,103.601693,-55.895063,0.356628,0.275144,0.368229,1.147211,153.979314,0.026640
228,0.231475,-14.482501,0.002711,-5.429603,0.106119,0.044873,0.089522,0.218357,61.399154,93.089986,-31.690832,0.349422,0.268311,0.382268,1.303514,140.729666,0.070897
229,0.188739,-10.265688,0.002155,-6.842941,0.087982,0.038518,0.076865,0.180105,51.008463,87.124118,-36.115656,0.345935,0.280402,0.373664,1.280159,142.434415,0.063137
230,0.186099,-8.520853,0.002028,-7.132053,0.081111,0.032348,0.064578,0.166506,46.912553,87.362200,-40.449647,0.347214,0.282368,0.370418,1.216452,142.761636,0.053440
231,0.050309,2.452580,0.000414,-31.269624,0.022170,0.009419,0.018832,0.044673,15.524683,81.590127,-66.065444,0.336844,0.319881,0.343275,1.229593,179.782793,0.017612
232,0.062024,2.868470,0.000380,-30.278770,0.017787,0.002017,0.004034,0.036121,13.352609,89.487447,-76.134838,0.339918,0.318792,0.341290,1.105952,190.692995,0.003802
233,0.121103,5.487528,0.000544,-20.208274,0.013411,-0.017839,-0.035661,0.028955,9.592384,97.904372,-88.311989,0.351661,0.309014,0.339325,0.764427,178.155148,-0.032217
234,0.180979,8.882237,0.000749,-15.256800,0.005772,-0.041701,-0.083224,0.016751,3.802539,106.261777,-102.459238,0.365200,0.298891,0.335909,0.594274,167.097790,-0.072417
235,0.067579,1.134602,0.000747,-23.864598,0.033879,0.016612,0.033188,0.068429,20.641749,76.754020,-56.112271,0.337141,0.314234,0.348625,1.165082,164.330983,0.030110
236,0.275241,-11.129557,0.002605,-5.377253,0.087657,0.013497,0.026966,0.187501,53.265162,110.238928,-56.973766,0.363644,0.262828,0.373528,1.139497,149.170193,0.021358
237,0.084308,4.580113,0.000390,-27.758612,0.012946,-0.008609,-0.017215,0.026910,9.787024,94.919887,-85.132863,0.345014,0.315872,0.339114,0.860837,189.877292,-0.015921
238,0.208182,-8.173055,0.001922,-7.061459,0.073562,0.018614,0.037199,0.153247,45.297602,97.852186,-52.554584,0.353459,0.279649,0.366892,1.191891,151.948754,0.030354
239,0.069215,3.206324,0.000366,-28.650725,0.016195,-0.001423,-0.002845,0.033043,12.497884,92.326375,-79.828491,0.341545,0.317882,0.340572,1.013931,192.181006,-0.002647
240,0.076019,3.172962,0.000759,-23.212850,0.030045,0.010624,0.021227,0.060875,17.214386,74.263752,-57.049365,0.339490,0.313633,0.346876,1.213291,154.639868,0.018991
241,0.070556,3.048072,0.000366,-27.987294,0.016216,-0.001745,-0.003489,0.033099,12.633286,93.665162,-81.031876,0.341771,0.317648,0.340581,1.003482,194.221909,-0.003264
242,0.083474,3.129135,0.000414,-25.254666,0.016352,-0.004980,-0.009960,0.033684,12.664316,96.500141,-83.835825,0.344061,0.315296,0.340643,0.945519,193.782793,-0.009173
243,0.085128,4.784279,0.000473,-24.369474,0.016802,-0.004955,-0.009909,0.034606,11.571227,85.844288,-74.273061,0.344245,0.314911,0.340845,0.946531,171.492713,-0.009131
244,0.044209,3.505320,0.000222,-45.430212,0.011307,0.000124,0.000248,0.022881,9.427362,94.007898,-84.580536,0.338296,0.323325,0.338379,1.050618,208.655853,0.000243
245,0.064626,4.298939,0.000317,-33.554298,0.012925,-0.003503,-0.007005,0.026413,9.936530,91.342454,-81.405924,0.341487,0.319407,0.339106,0.942922,191.951575,-0.006620
246,0.048173,3.339320,0.000533,-35.602957,0.024378,0.012101,0.024193,0.049202,14.974612,74.583075,-59.608463,0.336008,0.319696,0.344296,0.843787,167.132581,0.022503
247,0.048985,2.768939,0.000386,-39.275548,0.018905,0.006440,0.012878,0.038256,13.420310,85.726093,-72.305783,0.337420,0.320773,0.341807,1.058357,190.423601,0.012133
248,0.059784,3.878948,0.000548,-29.941134,0.023584,0.008370,0.016737,0.047702,14.409027,75.224260,-60.815233,0.338182,0.317900,0.343918,1.212160,162.755524,0.015500
249,0.075712,2.889412,0.000378,-27.838688,0.015922,-0.003415,-0.006826,0.032715,12.574048,96.826234,-84.252186,0.342807,0.316742,0.340451,0.982956,198.230371,-0.006214
250,0.058126,4.499966,0.000273,-37.783183,0.011215,-0.003536,-0.007071,0.022886,8.851904,91.923836,-83.071932,0.340739,0.320923,0.338338,0.934021,196.283498,-0.006707
251,0.254081,-13.088889,0.002543,-5.277930,0.094470,0.026715,0.053358,0.197800,57.486601,104.572073,-47.085472,0.357116,0.266162,0.376722,1.198356,149.369535,0.041968
252,0.068030,4.072037,0.000346,-30.722411,0.014102,-0.003209,-0.006417,0.028839,10.732017,91.129196,-80.397179,0.341822,0.318546,0.339632,0.966283,190.086977,-0.006002
253,0.093949,3.980965,0.000399,-25.102434,0.013051,-0.011015,-0.022027,0.027340,10.328632,101.664034,-91.335402,0.346719,0.314120,0.339161,0.823371,198.018336,-0.020305
254,0.202205,-7.301980,0.002216,-6.878179,0.080020,0.026772,0.053464,0.165456,44.709450,87.990691,-43.281241,0.350615,0.279462,0.369923,1.249745,138.761166,0.043730
255,0.104729,1.904337,0.000938,-20.085493,0.031484,0.004359,0.008702,0.064947,18.881523,85.339633,-66.458110,0.344455,0.307982,0.347563,1.095730,167.239304,0.007408
256,0.054996,1.474571,0.000503,-28.454049,0.026141,0.012156,0.024303,0.052740,17.932299,81.664880,-63.732581,0.336766,0.318162,0.345073,0.993716,178.928068,0.022680
257,0.149592,6.242223,0.000630,-17.608164,0.011145,-0.027823,-0.055568,0.025868,8.019746,106.071650,-98.051904,0.357760,0.303928,0.338312,0.702488,179.892337,-0.048905
258,0.223393,-10.823726,0.002246,-6.170607,0.086352,0.027161,0.054256,0.179624,52.078984,97.614104,-45.535120,0.353195,0.273921,0.372884,1.236070,147.761636,0.043848
259,0.221610,-10.097845,0.002014,-6.495068,0.078328,0.019625,0.039213,0.163683,49.507757,103.120169,-53.612412,0.354916,0.275969,0.369115,1.194262,155.652562,0.031818
260,0.116182,5.688320,0.000564,-21.635247,0.012698,-0.017298,-0.034575,0.027500,8.961918,96.577151,-87.615233,0.350987,0.310008,0.339005,0.778626,178.764457,-0.031125
261,0.205664,-9.025489,0.002080,-7.125892,0.079157,0.024697,0.049320,0.164755,47.653032,95.749506,-48.096474,0.351809,0.278670,0.369520,1.218417,148.700987,0.040903
262,0.260240,-8.047216,0.001909,-6.267160,0.064445,-0.005446,-0.010888,0.140359,43.937941,121.854443,-77.916502,0.366684,0.270681,0.362635,1.017892,167.781382,-0.008309
263,0.226201,-9.282319,0.002172,-6.319439,0.080461,0.020401,0.040757,0.168476,48.514810,99.166432,-50.651622,0.355391,0.274496,0.370113,1.196423,148.175364,0.033284
264,0.107245,2.032845,0.001291,-19.890618,0.040784,0.013038,0.026003,0.083346,20.751763,75.503244,-54.751481,0.342599,0.305557,0.351844,1.144624,149.180066,0.022257
265,0.100131,6.021700,0.000346,-29.868943,0.006399,-0.019324,-0.038625,0.014303,5.188999,105.857546,-100.668547,0.349462,0.314352,0.336186,0.666279,202.153268,-0.035520
266,0.284171,-9.686134,0.002677,-5.118164,0.084232,0.007519,0.015031,0.181684,50.217207,110.462059,-60.244852,0.366425,0.261677,0.371898,1.100066,147.176305,0.012025
267,0.235779,-10.215941,0.002484,-5.960060,0.088014,0.025374,0.050681,0.183674,51.220028,97.333427,-46.113399,0.355145,0.271151,0.373704,1.203642,143.950635,0.040199
268,0.244102,-10.670708,0.002535,-5.650678,0.090505,0.025497,0.050940,0.189413,52.630465,97.805078,-45.174612,0.356226,0.268930,0.374845,1.219345,141.768218,0.040504
269,0.078062,3.456396,0.000625,-24.704688,0.024500,0.004521,0.009036,0.049959,15.433004,79.487165,-64.054161,0.341227,0.314440,0.344333,1.140693,164.029149,0.008332
270,0.250579,-10.591681,0.002716,-5.416152,0.093486,0.026654,0.053221,0.195755,52.779972,97.337377,-44.557405,0.356755,0.266977,0.376268,1.201492,139.371415,0.042125
271,0.221323,-9.902935,0.002494,-6.075473,0.090763,0.032251,0.064408,0.187826,50.916784,90.578279,-39.661495,0.351522,0.273509,0.374969,1.264214,138.661025,0.051717
272,0.026402,3.168282,0.000174,-57.291989,0.011453,0.004804,0.009607,0.023001,9.677010,90.407052,-80.730042,0.335209,0.326347,0.338444,1.073378,210.921016,0.009324
273,0.284308,-13.430867,0.003087,-4.696116,0.103505,0.027001,0.053919,0.218644,59.537377,104.365585,-44.828209,0.361004,0.257958,0.381038,1.183468,140.910202,0.041496
274,0.028270,2.265365,0.000196,-51.384534,0.013391,0.006267,0.012533,0.026893,11.435825,91.974612,-80.538787,0.335087,0.325600,0.339313,1.018504,213.774800,0.012116
275,0.235119,-9.396807,0.002363,-6.446045,0.083535,0.020876,0.041709,0.175412,49.220028,98.543583,-49.323554,0.356389,0.272012,0.371599,1.161235,145.017866,0.033421
276,0.293685,-14.343164,0.002692,-4.679530,0.094581,0.015237,0.030451,0.202661,60.244006,118.368124,-58.124118,0.365516,0.257707,0.376776,1.138206,155.448989,0.023591
277,0.043463,3.100821,0.000257,-40.695366,0.013982,0.002991,0.005981,0.028219,11.244898,90.366181,-79.121283,0.337553,0.322868,0.339579,1.159511,201.480564,0.005713
278,0.042168,3.361446,0.000242,-41.601117,0.013212,0.002555,0.005109,0.026656,10.665726,90.065444,-79.399718,0.337504,0.323264,0.339232,1.144025,201.189469,0.004892
279,0.256458,-6.537313,0.002280,-6.115539,0.071998,0.003268,0.006529,0.154665,42.699577,105.048801,-62.349224,0.363843,0.270007,0.366150,1.071349,146.488952,0.005597
280,0.217818,-3.644261,0.001604,-8.279909,0.052508,-0.005384,-0.010765,0.113006,34.014104,107.062341,-73.048237,0.361037,0.281838,0.357125,1.007385,160.272685,-0.008657
281,0.036409,4.090584,0.000204,-52.052701,0.010874,0.001681,0.003362,0.021932,8.794076,89.058110,-80.264034,0.337051,0.324763,0.338186,1.111001,201.993888,0.003245
282,0.185940,-6.588439,0.001442,-8.622602,0.058761,0.009895,0.019783,0.122684,39.664316,103.467983,-63.803667,0.352950,0.287048,0.360002,1.140667,166.987306,0.016614
283,0.086963,6.416557,0.000370,-30.095542,0.009106,-0.013137,-0.026267,0.019283,6.579690,91.787588,-85.207898,0.346386,0.316219,0.337395,0.758103,181.622003,-0.024385
284,0.279810,-12.435076,0.002852,-4.814919,0.097367,0.022186,0.044329,0.206143,57.038082,105.031312,-47.993230,0.361693,0.260215,0.378092,1.179099,142.369535,0.034333
285,0.202654,-8.456039,0.001900,-7.610494,0.073784,0.020240,0.040444,0.153656,45.689704,97.478138,-51.788434,0.352445,0.280543,0.367012,1.204755,153.592384,0.033264
286,0.248324,-7.836395,0.002628,-5.693131,0.085692,0.019455,0.038875,0.180401,46.908322,93.779408,-46.871086,0.358378,0.269048,0.372573,1.180173,134.478138,0.030963
287,0.245320,-9.411196,0.002319,-5.939885,0.081108,0.015671,0.031315,0.171241,48.922426,103.432440,-54.510014,0.359017,0.270555,0.370428,1.139474,149.002821,0.025075
288,0.248280,-8.401151,0.002412,-5.779184,0.081791,0.015475,0.030925,0.173037,47.434415,99.723272,-52.288858,0.359523,0.269749,0.370727,1.161699,141.897978,0.025044
289,0.187023,-10.005574,0.002150,-7.154448,0.087608,0.038554,0.076960,0.179412,50.602257,85.987306,-35.385049,0.345731,0.280770,0.373499,1.313784,140.692525,0.063181
290,0.018532,3.557001,0.000303,-59.103235,0.018883,0.014202,0.028391,0.037840,12.640339,74.394358,-61.754020,0.332200,0.326003,0.341797,-0.382047,179.274565,0.027326
291,0.105629,4.302224,0.000641,-19.716332,0.020720,-0.006441,-0.012880,0.043059,13.561354,87.046827,-73.485472,0.347061,0.310328,0.342611,0.937936,166.126939,-0.011664
292,0.191699,-6.352764,0.001841,-7.878825,0.069725,0.019296,0.038563,0.144686,41.437236,91.605924,-50.168688,0.351263,0.283629,0.365108,1.204441,147.177715,0.031899
293,0.142699,2.289584,0.001720,-10.881187,0.053253,0.016189,0.032357,0.109358,24.793363,64.441629,-39.648265,0.346061,0.296479,0.357461,1.181748,114.177476,0.027956
294,0.256351,-11.041893,0.002895,-5.310992,0.097983,0.029518,0.058952,0.205052,54.200282,95.738787,-41.538505,0.356699,0.264892,0.378409,1.233083,136.301363,0.046198
295,0.229079,-13.046615,0.003411,-5.170910,0.120378,0.059923,0.119322,0.245517,60.221439,79.295063,-19.073625,0.345117,0.265756,0.389127,1.213786,121.274565,0.094007
296,0.197069,-7.074071,0.002028,-7.436494,0.075726,0.023811,0.047572,0.156910,43.699577,89.667419,-45.967842,0.350800,0.281292,0.367908,1.221559,142.573108,0.039240
297,0.032332,1.792463,0.000273,-40.398896,0.018077,0.009912,0.019820,0.036312,14.314528,86.716220,-72.401693,0.334722,0.323858,0.341420,0.449562,199.987306,0.019059
298,0.297391,-11.690601,0.002860,-4.663813,0.092388,0.011973,0.023937,0.198727,55.262341,111.733992,-56.471650,0.366866,0.257404,0.375730,1.118257,145.091208,0.018472
299,0.056682,4.928105,0.000334,-36.841113,0.013695,-0.000701,-0.001402,0.027859,9.764706,83.793464,-74.028758,0.339935,0.320615,0.339451,1.031845,180.581699,-0.001272
300,0.222639,-9.401188,0.002582,-6.093036,0.091361,0.032445,0.064791,0.189203,50.260931,88.541326,-38.280395,0.351668,0.273077,0.375256,1.269186,134.504466,0.052040
301,0.091012,5.515952,0.000499,-24.410256,0.015465,-0.007838,-0.015674,0.032102,10.331453,85.352045,-75.020592,0.345627,0.314128,0.340245,0.889721,168.223319,-0.014421
302,0.191628,-4.895062,0.002240,-7.819347,0.075973,0.025521,0.050989,0.157128,39.834979,80.863470,-41.028491,0.349691,0.282269,0.368041,1.245453,131.326751,0.042023
303,0.049184,5.783594,0.000219,-50.597897,0.007838,-0.004620,-0.009239,0.016012,6.038082,88.769817,-82.731735,0.339956,0.323216,0.336828,0.870608,193.984485,-0.008833
304,0.203439,-7.811795,0.001820,-7.828478,0.069589,0.015773,0.031525,0.145592,43.808181,100.293371,-56.485190,0.353729,0.281217,0.365053,1.162036,157.168782,0.026069
305,0.047014,4.086399,0.000278,-41.495407,0.012983,0.001064,0.002127,0.026310,10.000000,87.365303,-77.365303,0.338423,0.322447,0.339131,1.080130,193.388811,0.002126
306,0.094932,6.869372,0.000405,-28.249861,0.008822,-0.015515,-0.031019,0.018945,6.231312,91.124965,-84.893653,0.347914,0.314818,0.337268,0.735468,176.670428,-0.028604
307,0.203088,-6.631205,0.001966,-7.460206,0.072264,0.018638,0.037247,0.150604,42.480959,92.548096,-50.067137,0.352900,0.280813,0.366287,1.202837,144.874941,0.030744
308,0.035889,5.564055,0.000181,-62.237472,0.007975,-0.001086,-0.002173,0.016134,6.205924,86.132581,-79.926657,0.337624,0.325487,0.336889,0.988660,195.319229,-0.002084
309,0.278209,-8.450362,0.003193,-5.532085,0.093635,0.018587,0.037133,0.199593,49.188999,95.750917,-46.561918,0.362668,0.260959,0.376373,1.161190,129.500705,0.028997
310,0.063405,5.596433,0.000257,-40.248692,0.008021,-0.008099,-0.016195,0.016607,6.332863,93.591537,-87.258674,0.342418,0.320673,0.336909,0.811230,196.673249,-0.015286
311,0.022442,4.018841,0.000159,-68.172125,0.010027,0.004377,0.008754,0.020134,8.239774,87.346685,-79.106911,0.334865,0.327329,0.337806,0.738028,206.191349,0.008552
312,0.047553,4.648597,0.000279,-40.738350,0.012796,0.000755,0.001510,0.025904,9.503526,84.875035,-75.371509,0.338537,0.322416,0.339047,1.081326,187.063470,0.001458
313,0.277413,-9.801594,0.003527,-4.779361,0.106230,0.031753,0.063390,0.223150,53.107193,89.466008,-36.358815,0.358823,0.258841,0.382335,1.229874,122.049365,0.049000
314,0.068926,4.393186,0.000298,-33.948973,0.010887,-0.006662,-0.013323,0.022443,8.739069,96.498731,-87.759661,0.342736,0.319073,0.338191,0.875397,200.356370,-0.012473
315,0.264776,-10.001683,0.002650,-5.232490,0.089020,0.018127,0.036228,0.188373,51.380818,101.797179,-50.416361,0.360832,0.265035,0.374133,1.163136,141.165021,0.028485
316,0.187579,-6.165794,0.002158,-7.244690,0.079096,0.029899,0.059723,0.162723,42.688293,81.508604,-38.820310,0.348025,0.282510,0.369465,1.292914,132.251528,0.049436
317,0.067858,4.809044,0.000306,-34.059083,0.011069,-0.006199,-0.012396,0.022774,8.585331,93.050212,-84.464880,0.342496,0.319231,0.338273,0.880872,193.668547,-0.011643
318,0.046489,4.811803,0.000228,-47.253052,0.009932,-0.001836,-0.003673,0.020166,7.840621,89.484626,-81.644006,0.339010,0.323226,0.337764,0.981774,197.307475,-0.003495
319,0.288968,-8.412212,0.002304,-5.221707,0.072143,-0.005923,-0.011838,0.158205,46.157969,121.791819,-75.633850,0.370639,0.263126,0.366234,1.014712,158.601316,-0.009041
320,0.221628,-5.104167,0.002506,-6.321836,0.080617,0.022004,0.043974,0.167924,41.443769,82.439514,-40.995745,0.354211,0.275606,0.370183,1.204077,124.401216,0.035390
321,0.073930,5.265219,0.000328,-33.049222,0.010237,-0.008612,-0.017222,0.021249,7.847673,93.348942,-85.501269,0.343781,0.318319,0.337901,0.833978,191.614010,-0.016092
322,0.062591,5.271181,0.000291,-38.700445,0.010109,-0.005804,-0.011606,0.020772,7.641749,90.813540,-83.171791,0.341793,0.320364,0.337844,0.876382,191.977433,-0.010946
323,0.071344,6.381801,0.000289,-43.297024,0.007024,-0.011168,-0.022329,0.014807,5.407616,92.182228,-86.774612,0.344084,0.319449,0.336467,0.754623,190.135402,-0.020931
324,0.217844,-6.701736,0.002113,-7.068573,0.073233,0.015514,0.031004,0.153483,42.661495,95.955148,-53.293653,0.355518,0.277723,0.366759,1.166758,146.000940,0.025106
325,0.075207,4.498392,0.000366,-29.930803,0.013094,-0.006099,-0.012194,0.027014,9.942172,92.304937,-82.362764,0.343363,0.317456,0.339182,0.920625,189.162670,-0.011268
326,0.091347,6.631520,0.000427,-28.337843,0.010059,-0.013337,-0.026667,0.021319,6.901269,89.225670,-82.324401,0.346964,0.315214,0.337823,0.765790,175.203103,-0.024665
327,0.236161,-5.266624,0.003750,-5.248974,0.106174,0.043679,0.087103,0.218635,44.413174,68.364671,-23.951497,0.350289,0.267423,0.382288,1.255301,101.984531,0.068812
328,0.091975,6.826402,0.000478,-27.203103,0.011516,-0.012062,-0.024115,0.024287,7.634697,83.918477,-76.283780,0.346764,0.314763,0.338474,0.813520,165.349318,-0.022140
329,0.197617,-7.955669,0.001994,-7.034251,0.077717,0.025751,0.051455,0.160629,45.665726,90.231594,-44.565867,0.350300,0.280882,0.368818,1.233255,143.346497,0.042314
330,0.296861,-12.780850,0.003206,-4.573609,0.101858,0.021648,0.043236,0.216986,58.198872,107.341326,-49.142454,0.364147,0.255589,0.380265,1.169375,140.827457,0.033033
331,0.041436,4.236189,0.000273,-45.876711,0.013547,0.003054,0.006108,0.027367,10.057828,84.413822,-74.355994,0.337321,0.323293,0.339387,1.098858,189.603667,0.005858
332,0.131043,8.741193,0.000535,-21.653357,0.005654,-0.028234,-0.056420,0.013804,3.700987,93.493371,-89.792384,0.355377,0.308771,0.335852,0.618947,165.337565,-0.050979
333,0.282630,-7.905910,0.002531,-5.276603,0.077037,0.000822,0.001644,0.167132,46.021157,111.319887,-65.298731,0.367940,0.263539,0.368521,1.054998,147.847203,0.001401
334,0.049673,7.038523,0.000196,-65.282059,0.004771,-0.007824,-0.015645,0.009913,3.596615,87.126093,-83.529478,0.340760,0.323780,0.335460,0.743846,190.191819,-0.014939
335,0.059588,4.968023,0.000394,-30.598343,0.016781,0.001651,0.003301,0.034044,11.288961,78.540909,-67.251948,0.339715,0.319450,0.340835,1.095024,167.873377,0.003136
336,0.249076,-8.570829,0.002552,-5.786350,0.084297,0.017771,0.035499,0.177929,47.974612,98.611001,-50.636389,0.358993,0.269069,0.371937,1.172055,140.523272,0.028405
337,0.041244,5.064511,0.000184,-56.421805,0.007830,-0.002593,-0.005187,0.015891,6.393512,91.261213,-84.867701,0.338576,0.324600,0.336824,0.930512,203.691114,-0.004991
338,0.050788,5.365449,0.000242,-46.061825,0.009329,-0.003548,-0.007096,0.019032,7.186178,88.378279,-81.192102,0.339905,0.322601,0.337494,0.935518,192.672308,-0.006713
339,0.219639,-6.946282,0.002156,-6.742218,0.075833,0.017642,0.035257,0.158730,43.655853,94.328350,-50.672496,0.355219,0.276832,0.367950,1.182241,142.569346,0.028767
340,0.236090,-13.506399,0.002201,-5.835242,0.088437,0.025734,0.051390,0.184503,57.143865,108.205642,-51.061777,0.355114,0.271002,0.373884,1.216902,159.466855,0.040980
341,0.090809,7.089707,0.000464,-27.447803,0.011434,-0.011819,-0.023635,0.024049,7.325733,82.867101,-75.541368,0.346539,0.315024,0.338437,0.795459,162.939197,-0.021844
